Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
539,JT Thor,PF,19,CHO,33,0,262,3.3,7.6,0.436,1,3.7,0.259,2.3,3.8,0.607,1.6,2.7,0.6,1.5,4.4,5.9,2.6,1.1,1.5,1.4,3.6,9.2,thorjt01
540,Matisse Thybulle,SG,24,PHI,66,50,1685,3.2,6.4,0.5,1,3.1,0.313,2.2,3.3,0.673,0.7,0.9,0.791,0.9,2.3,3.2,1.6,2.5,1.5,0.8,3.4,8.1,thybuma01
541,Killian Tillie,C,23,MEM,36,3,461,3.4,9.9,0.339,2.1,6.7,0.314,1.2,3.2,0.39,0.4,0.6,0.625,1.6,3,4.7,1.7,1.8,1.2,1,4.5,9.2,tilliki02
542,Xavier Tillman Sr.,PF,23,MEM,53,2,701,5,11.1,0.454,0.5,2.5,0.204,4.5,8.6,0.527,2.4,3.6,0.648,3.4,4.9,8.3,3.2,2.5,0.8,1.7,3.2,12.9,tillmxa01
543,Isaiah Todd,PF,20,WAS,12,0,74,3.4,12.6,0.269,1.9,7.8,0.25,1.5,4.9,0.3,1,2.9,0.333,1.5,4.4,5.8,1.9,1.9,1,1.9,1.9,9.7,toddis01
544,Obi Toppin,PF,23,NYK,72,10,1230,7.3,13.8,0.531,1.5,4.9,0.308,5.8,8.9,0.655,2.8,3.6,0.758,2,5.8,7.8,2.3,0.7,1,1.6,3,19,toppiob01
545,Juan Toscano-Anderson,SF,28,GSW,73,6,994,4.2,8.5,0.489,1,3.2,0.322,3.2,5.4,0.588,1.4,2.5,0.571,1,5.4,6.4,4.6,1.7,0.6,2.5,4.2,10.8,toscaju01
546,Karl-Anthony Towns,C,26,MIN,74,74,2476,9.3,17.7,0.529,2.2,5.3,0.41,7.2,12.3,0.58,5.6,6.8,0.822,2.8,7.7,10.6,3.9,1,1.2,3.3,3.9,26.4,townska01
547,Gary Trent Jr.,SG,23,TOR,70,69,2448,6.6,16,0.414,3.1,8,0.383,3.5,8,0.445,2.6,3,0.853,0.4,2.4,2.8,2.1,1.8,0.3,1.1,2.1,18.9,trentga02
548,P.J. Tucker,PF,36,MIA,71,70,1981,3.8,7.8,0.484,1.5,3.5,0.415,2.3,4.3,0.54,0.8,1.1,0.738,1.8,5.2,7,2.7,1.1,0.3,1.2,2.9,9.8,tuckepj01
549,Rayjon Tucker,SG,24,TOT,5,0,71,3,4.6,0.667,2,2.5,0.8,1,2,0.5,2.5,3.5,0.714,1.5,2.5,4.1,5.1,2,0,0.5,2.5,10.6,tuckera01
